nome_da_tabela,confiabilidade,completude,consistencia,precisao
ufrn_componentes_por_curriculo_metadados,1.0,0.5714285714285714,-13,0.5
ufrn_ensino_de_graduacao_metadados,1.0,0.4545454545454546,-2,0.8636363636363636
ufrn_matriculados_turma_graduacao_metadados,1.0,0.4117647058823529,0,0.9411764705882353
ufrn_componentes_por_curriculo_metadados,1.0,0.5714285714285714,0.5,0.5
ufrn_ensino_de_graduacao_metadados,1.0,0.4545454545454546,0.8636363636363636,0.8636363636363636
ufrn_liquidacoes_metadados,1.0,0.40909090909090906,0.9545454545454546,0.9545454545454546
ufrn_matriculados_turma_graduacao_metadados,1.0,0.4117647058823529,0.8235294117647058,0.8235294117647058
