"ANO","PERIODO","CODIGO_COMPONENTE","CODIGO_TURMA","TOTAL","APROVADO","REPROVADO","DISPENSADO","TRANCADO","DESISTENCIA"
2021,2,"02316",SB3,25,16,8,0,0,1
2021,2,"02318",SB1,26,20,5,0,1,0
2021,2,"02319",LB1,31,25,1,0,1,4
2021,2,"02319",LB3,20,16,1,0,1,2
2021,2,"02319",SA1,33,16,12,0,2,3
2021,2,"02319",SA3,26,15,8,0,0,3
2021,2,"02319",SB3,25,18,3,0,2,2
2021,2,"02319",SF1,12,7,3,0,0,2
2021,2,"02320",LB1,8,6,1,0,0,1
2021,2,"02320",SB1,26,23,1,0,0,2
2021,2,"02322",LB1,29,22,5,0,1,1
2021,2,"02322",LB3,35,33,0,0,1,1
2021,2,"02358",SZ3,24,14,7,0,1,2
2021,2,"02360",SV1,7,5,2,0,0,0
2021,2,"02360",SV3,7,5,0,0,0,2
2021,2,"02422",SB1,33,27,2,0,0,4
2021,2,"02449",LB1,27,22,0,0,1,4
2021,2,"02450",SA1,19,14,2,0,2,1
2021,2,"02450",SA3,11,8,2,0,1,0
2021,2,"02524",SB1,34,29,3,0,0,2
2021,2,"02525",SB3,30,14,11,0,1,4
2021,2,"02525",SP3,25,16,5,0,2,2
2021,2,"02526",LB3,11,10,1,0,0,0
2021,2,"02529",SZ1,27,16,10,0,1,0
2021,2,"02551",SV1,26,20,4,0,0,2
2021,2,"02551",SV3,20,12,5,0,0,3
2021,2,"02562",SV1,14,8,6,0,0,0
2021,2,"02562",SV3,11,10,0,0,0,1
2021,2,"02563",SA1,12,8,2,0,1,1
2021,2,"02563",SA3,16,16,0,0,0,0
2021,2,"02627",LB1,14,9,1,0,1,3
2021,2,"02627",SB1,18,11,4,0,0,3
2021,2,"02631",SF3,36,22,10,0,1,3
2021,2,"02638",SZ1,48,34,9,0,2,3
2021,2,"02639",SA1,28,10,14,0,1,3
2021,2,"02639",SA3,29,9,18,0,1,1
2021,2,"02641",SB1,37,24,8,0,1,4
2021,2,"02646",LB1,25,21,2,0,1,1
2021,2,"02646",LB3,37,35,1,0,0,1
2021,2,"02647",SB1,36,28,6,0,1,1
2021,2,"02648",SB3,38,31,6,0,1,0
2021,2,"02652",SV1,17,13,3,0,0,1
2021,2,"02652",SV3,19,16,0,0,1,2
2021,2,"02653",SB1,29,26,2,0,1,0
2021,2,"02657",SB1,21,16,1,0,0,4
2021,2,"02658",SB1,17,14,3,0,0,0
2021,2,"02667",SB3,27,20,3,0,3,1
2021,2,"02736","02",21,18,2,0,1,0
2021,2,"02737","02",23,16,4,0,2,1
2021,2,"02748",LB3,35,28,1,0,2,4
2021,2,"02750","01",23,18,2,0,0,3
2021,2,"02752","01",32,27,4,0,1,0
2021,2,"02755",SZ1,23,17,4,0,2,0
2021,2,"02760",EA1,39,15,23,0,1,0
2021,2,"02760",EA4,5,2,2,0,0,1
2021,2,"02762",LB1,31,29,1,0,0,1
